zip,city,state,latitude,longitude,timezone,dst
70062, Kenner, LA,29.991051,-90.2469,-6,1
48120, Dearborn, MI,42.306288,-83.15863,-5,1
94701, Berkeley, CA,37.860576,-122.29673,-8,1
14701, Jamestown, NY,42.09179,-79.24459,-5,1
68845, Kearney, NE,40.713265,-99.11839,-6,1
21401, Annapolis, MD,38.997511,-76.49803,-5,1
59801, Missoula, MT,46.855423,-114.01229,-7,1
60301, Oak Park, IL,41.887981,-87.79562,-6,1
61820, Champaign, IL,40.114931,-88.24322,-6,1
19054, Levittown, PA,40.166859,-74.82066,-5,1
71101, Shreveport, LA,32.505352,-93.74861,-6,1
30263, Newnan, GA,33.38779,-84.82536,-5,1
48823, East Lansing, MI,42.747922,-84.47143,-5,1
625, Caguas, PR,18.232109,-66.039087,-4,0
60431, Joliet, IL,41.52493,-88.19022,-6,1
65101, Jefferson City, MO,38.535897,-92.13905,-6,1
20001, Washington, DC,38.907711,-77.01732,-5,1
91790, West Covina, CA,34.068059,-117.93835,-8,1
77320, Huntsville, TX,30.805099,-95.50719,-6,1
22191, Woodbridge, VA,38.63275,-77.26786,-5,1
97005, Beaverton, OR,45.49106,-122.80359,-8,1
55368, Norwood, MN,44.756883,-93.91666,-6,1
2172, Watertown, MA,42.372596,-71.177998,-5,1
46243, Washington, IN,39.779741,-86.332995,-5,0
33301, Fort Lauderdale, FL,26.121114,-80.13187,-5,1
94014, Daly City, CA,37.699182,-122.45035,-8,1
91801, Alhambra, CA,34.090409,-118.127,-8,1
30006, Marietta, GA,33.912473,-84.557181,-5,1
34748, Leesburg, FL,28.797245,-81.88466,-5,1
84601, Provo, UT,40.230954,-111.68006,-7,1
10701, Yonkers, NY,40.943525,-73.88176,-5,1
93650, Fresno, CA,36.841454,-119.79832,-8,1
20163, Sterling, VA,39.085309,-77.645224,-5,1
23062, Gloucester Point, VA,37.257466,-76.49661,-5,1
80120, Littleton, CO,39.599687,-105.00658,-7,1
38501, Cookeville, TN,36.1832,-85.52054,-6,1
90204, Inglewood, CA,33.944714,-118.356908,-8,1
7097, Jersey City, NJ,40.73276,-74.075485,-5,1
